Pos,Player,Tm,Age,Yrs,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Sk,Int,All-pro teams,Player-additional,Year
QB,Cam Newton,CAR,26,4,16,16,296,495,3837,35,10,132,636,10,0,0,0,0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm,NewtCa00,2015
QB,Carson Palmer,ARI,36,11,16,16,342,537,4671,35,11,25,24,1,0,0,0,0,0.0,0,PFF: 1st Tm AP: 2nd Tm,PalmCa00,2015
QB,Tom Brady,NWE,38,15,16,16,402,624,4770,36,7,34,53,3,1,36,0,0,0.0,0,FW: 1st Tm All-Conf. PFF: 2nd Tm,BradTo00,2015
RB,Doug Martin,TAM,26,3,16,16,0,0,0,0,0,288,1402,6,33,271,1,0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 1st Tm SN: 1st Tm,MartDo00,2015
RB,Adrian Peterson,MIN,30,8,16,16,0,0,0,0,0,327,1485,11,30,222,0,0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm,PeteAd01,2015
RB,Latavius Murray,OAK,25,1,16,16,0,0,0,0,0,266,1066,6,41,232,0,0,0.0,0,FW: 1st Tm All-Conf.,MurrLa00,2015
RB,Chris Ivory,NYJ,27,5,15,14,0,0,0,0,0,247,1070,7,30,217,1,0,0.0,0,FW: 1st Tm All-Conf.,IvorCh00,2015
RB,Devonta Freeman,ATL,23,1,15,13,0,0,0,0,0,265,1056,11,73,578,3,0,0.0,0,AP: 2nd Tm,FreeDe00,2015
RB,Todd Gurley,STL,21,Rook,13,12,0,0,0,0,0,229,1106,10,21,188,0,0,0.0,0,AP: 2nd Tm,GurlTo01,2015
RB,Jonathan Stewart,CAR,28,7,13,13,0,0,0,0,0,242,989,6,16,99,1,0,0.0,0,PFF: 2nd Tm,StewJo00,2015
FB,Patrick DiMarco,ATL,26,3,16,8,0,0,0,0,0,1,0,0,13,110,2,4,0.0,0,PFF: 1st Tm AP: 2nd Tm,DiMaPa00,2015
FB,Mike Tolbert,CAR,30,7,16,3,0,0,0,0,0,62,256,1,18,154,3,1,0.0,0,AP: 1st Tm,TolbMi00,2015
WR,Antonio Brown,PIT,27,5,16,16,0,0,0,0,0,3,28,0,136,1834,10,1,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 1st Tm SN: 1st Tm,BrowAn04,2015
WR,Julio Jones,ATL,26,4,16,16,0,0,0,0,0,0,0,0,136,1871,8,0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 1st Tm SN: 1st Tm,JoneJu02,2015
WR,Larry Fitzgerald,ARI,32,11,16,16,0,0,0,0,0,0,0,0,109,1215,9,0,0.0,0,PFF: 1st Tm,FitzLa00,2015
