Pos,Player,Tm,Age,Yrs,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Sk,Int,All-pro teams,Player-additional,Year
RT,Mitchell Schwartz,KAN,27,4,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,AP: 2nd Tm,SchwMi00,2016
DE,Khalil Mack,OAK,25,2,16,16,0,0,0,0,0,0,0,0,0,0,0,54,11.0,1,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 1st Tm SN: 1st Tm,MackKh00,2016
DE,Jadeveon Clowney,HOU,23,2,14,14,0,0,0,0,0,0,0,0,0,0,0,40,6.0,0,FW: 1st Tm All-Conf. AP: 2nd Tm FW: 1st Tm SN: 1st Tm,ClowJa00,2016
DE,Brandon Graham,PHI,28,6,16,16,0,0,0,0,0,0,0,0,0,0,0,41,5.5,0,FW: 1st Tm All-Conf. AP: 2nd Tm PFF: 1st Tm,GrahBr99,2016
DE,Cliff Avril,SEA,30,8,16,16,0,0,0,0,0,0,0,0,0,0,0,20,11.5,0,FW: 1st Tm All-Conf.,AvriCl99,2016
DT,Aaron Donald,LAR,25,2,16,16,0,0,0,0,0,0,0,0,0,0,0,36,8.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 1st Tm SN: 1st Tm,DonaAa00,2016
DT,Damon Harrison,NYG,28,4,16,16,0,0,0,0,0,0,0,0,0,0,0,55,2.5,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 2nd Tm,HarrDa03,2016
DT,Geno Atkins,CIN,28,6,16,16,0,0,0,0,0,0,0,0,0,0,0,21,9.0,0,FW: 1st Tm All-Conf. SN: 1st Tm,AtkiGe99,2016
DT,Calais Campbell,ARI,30,8,16,16,0,0,0,0,0,0,0,0,0,0,0,34,8.0,1,AP: 2nd Tm PFF: 1st Tm,CampCa99,2016
DT,Ndamukong Suh,MIA,29,6,16,16,0,0,0,0,0,0,0,0,0,0,0,41,5.0,0,FW: 1st Tm All-Conf. AP: 2nd Tm PFF: 2nd Tm,SuhxNd99,2016
DT,Gerald McCoy,TAM,28,6,15,15,0,0,0,0,0,0,0,0,0,0,0,26,7.0,0,AP: 2nd Tm,McCoGe99,2016
OLB,Von Miller,DEN,27,5,16,16,0,0,0,0,0,0,0,0,0,0,0,62,13.5,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 2nd Tm SN: 1st Tm,MillVo00,2016
OLB,Vic Beasley,ATL,24,1,16,12,0,0,0,0,0,0,0,0,0,0,0,32,15.5,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm,BeasVi00,2016
OLB,Lorenzo Alexander,BUF,33,9,16,16,0,0,0,0,0,0,0,0,0,0,0,56,12.5,1,FW: 1st Tm All-Conf. AP: 2nd Tm,AlexLo99,2016
OLB,Ryan Kerrigan,WAS,28,5,16,16,0,0,0,0,0,0,0,0,0,0,0,26,11.0,0,FW: 1st Tm All-Conf.,KerrRy00,2016
MLB,Bobby Wagner,SEA,26,4,16,16,0,0,0,0,0,0,0,0,0,0,0,85,4.5,1,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 1st Tm SN: 1st Tm,WagnBo00,2016
MLB,Dont'a Hightower,NWE,26,4,13,13,0,0,0,0,0,0,0,0,0,0,0,31,2.5,0,FW: 1st Tm All-Conf. AP: 2nd Tm PFF: 2nd Tm,HighDo01,2016
LB,Luke Kuechly,CAR,25,4,10,10,0,0,0,0,0,0,0,0,0,0,0,71,2.0,1,AP: 2nd Tm PFF: 1st Tm SN: 1st Tm,KuecLu00,2016
LB,Sean Lee,DAL,30,6,15,15,0,0,0,0,0,0,0,0,0,0,0,93,0.0,0,AP: 1st Tm PFF: 1st Tm,LeexSe99,2016
LB,K.J. Wright,SEA,27,5,16,16,0,0,0,0,0,0,0,0,0,0,0,72,4.0,0,PFF: 2nd Tm,WrigK.00,2016
LB,Paul Posluszny,JAX,32,9,16,16,0,0,0,0,0,0,0,0,0,0,0,97,1.5,1,PFF: 2nd Tm,PoluPa99,2016
LB,Zach Brown,BUF,27,4,16,16,0,0,0,0,0,0,0,0,0,0,0,97,4.0,1,AP: 2nd Tm,BrowZa00,2016
LB,Zach Orr,BAL,24,2,15,15,0,0,0,0,0,0,0,0,0,0,0,92,0.0,3,AP: 2nd Tm,OrrxZa00,2016
LB,Alec Ogletree,LAR,25,3,16,16,0,0,0,0,0,0,0,0,0,0,0,98,0.0,2,AP: 2nd Tm,OgleAl00,2016
LB,Lavonte David,TAM,26,4,16,16,0,0,0,0,0,0,0,0,0,0,0,67,5.0,1,AP: 2nd Tm,DaviLa00,2016
LB,C.J. Mosley,BAL,24,2,14,14,0,0,0,0,0,0,0,0,0,0,0,56,0.0,4,AP: 2nd Tm,MoslC.00,2016
LB,Whitney Mercilus,HOU,26,4,15,15,0,0,0,0,0,0,0,0,0,0,0,36,7.5,0,AP: 2nd Tm,MercWh00,2016
LB,Benardrick McKinney,HOU,24,1,16,16,0,0,0,0,0,0,0,0,0,0,0,79,5.0,0,AP: 2nd Tm,McKiBe00,2016
CB,Aqib Talib,DEN,30,8,13,13,0,0,0,0,0,0,0,0,0,0,0,32,0.0,3,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 1st Tm SN: 1st Tm,TaliAq99,2016
CB,Marcus Peters,KAN,23,1,15,15,0,0,0,0,0,0,0,0,0,0,0,35,0.0,6,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm,PeteMa00,2016
CB,Malcolm Butler,NWE,26,2,16,16,0,0,0,0,0,0,0,0,0,0,0,48,1.0,4,PFF: 1st Tm AP: 2nd Tm,ButlMa01,2016
CB,Jackrabbit Jenkins,NYG,28,4,15,15,0,0,0,0,0,0,0,0,0,0,0,44,1.0,3,FW: 1st Tm All-Conf. AP: 2nd Tm PFF: 2nd Tm,JenkJa03,2016
CB,Patrick Peterson,ARI,26,5,16,16,0,0,0,0,0,0,0,0,0,0,0,45,0.0,3,FW: 1st Tm All-Conf.,PetePa00,2016
CB,Casey Hayward,SDG,27,4,16,14,0,0,0,0,0,0,0,0,0,0,0,51,0.0,7,AP: 2nd Tm PFF: 2nd Tm,HaywCa00,2016
DB,Chris Harris Jr.,DEN,27,5,16,15,0,0,0,0,0,0,0,0,0,0,0,57,0.0,2,AP: 1st Tm PFF: 1st Tm,HarrCh01,2016
DB,Dominique Rodgers-Cromartie,NYG,30,8,15,9,0,0,0,0,0,0,0,0,0,0,0,41,1.0,6,AP: 2nd Tm PFF: 2nd Tm,RodgDo99,2016
S,Landon Collins,NYG,22,1,16,16,0,0,0,0,0,0,0,0,0,0,0,100,4.0,5,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 1st Tm SN: 1st Tm,CollLa00,2016
S,Eric Berry,KAN,28,6,16,16,0,0,0,0,0,0,0,0,0,0,0,62,0.0,4,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm,BerrEr99,2016
S,Eric Weddle,BAL,31,9,16,16,0,0,0,0,0,0,0,0,0,0,0,48,1.0,4,PFF: 1st Tm,WeddEr99,2016
S,Devin McCourty,NWE,29,6,16,16,0,0,0,0,0,0,0,0,0,0,0,67,0.0,1,FW: 1st Tm All-Conf. AP: 2nd Tm PFF: 2nd Tm,McCoDe99,2016
S,Ha Ha Clinton-Dix,GNB,24,2,16,16,0,0,0,0,0,0,0,0,0,0,0,62,0.5,5,FW: 1st Tm All-Conf. AP: 2nd Tm,ClinHa00,2016
S,Kam Chancellor,SEA,28,6,12,12,0,0,0,0,0,0,0,0,0,0,0,51,0.0,2,PFF: 2nd Tm,ChanKa99,2016
P,Johnny Hekker,LAR,26,4,16,0,1,2,4,0,0,0,0,0,0,0,0,0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 2nd Tm,HekkJo00,2016
P,Pat McAfee,IND,29,7,16,0,1,1,35,0,0,1,0,0,0,0,0,0,0.0,0,FW: 1st Tm All-Conf. PFF: 1st Tm SN: 1st Tm,McAfPa44,2016
P,Marquette King,OAK,28,3,16,0,0,0,0,0,0,2,27,0,0,0,0,1,0.0,0,AP: 2nd Tm,KingMa00,2016
PR,Marcus Sherels,MIN,29,6,11,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,0,FW: 1st Tm All-Conf.,SherMa20,2016
PR,Jamison Crowder,WAS,23,1,16,9,0,0,0,0,0,2,-2,0,67,847,7,0,0.0,0,PFF: 2nd Tm,CrowJa00,2016
KR,Tyreek Hill,KAN,22,Rook,16,1,0,0,0,0,0,24,267,3,61,593,6,4,0.0,0,FW: 1st Tm All-Conf. FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 1st Tm SN: 1st Tm,HillTy00,2016
KR,Cordarrelle Patterson,MIN,25,3,16,8,0,0,0,0,0,7,43,0,52,453,2,4,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm,PattCo00,2016
KR,Tyler Lockett,SEA,24,1,15,9,0,0,0,0,0,6,114,1,41,597,1,0,0.0,0,AP: 2nd Tm PFF: 1st Tm,LockTy00,2016
KR,Alex Erickson,CIN,24,Rook,16,0,0,0,0,0,0,0,0,0,6,71,0,0,0.0,0,PFF: 2nd Tm,EricAl01,2016
ST,Matthew Slater,NWE,31,8,13,0,0,0,0,0,0,1,5,0,0,0,0,4,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm,SlatMa00,2016
ST,Eric Murray,KAN,22,Rook,16,0,0,0,0,0,0,0,0,0,0,0,0,9,0.0,0,PFF: 1st Tm,MurrEr00,2016
ST,Dwayne Harris,NYG,29,5,16,1,0,0,0,0,0,0,0,0,1,13,1,8,0.0,0,FW: 1st Tm All-Conf.,HarrDw00,2016
ST,Nate Ebner,NWE,28,4,16,0,0,0,0,0,0,0,0,0,0,0,0,13,0.0,0,AP: 2nd Tm,EbneNa00,2016
ST,Cody Davis,LAR,27,3,15,3,0,0,0,0,0,0,0,0,0,0,0,9,0.0,1,PFF: 2nd Tm,DaviCo02,2016
PK,Justin Tucker,BAL,27,4,16,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 1st Tm SN: 1st Tm,TuckJu00,2016
PK,Matt Bryant,ATL,41,14,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,FW: 1st Tm All-Conf. PFF: 2nd Tm,bryanmat01,2016
EDGE,Cameron Jordan,NOR,27,5,16,16,0,0,0,0,0,0,0,0,0,0,0,40,7.5,0,PFF: 2nd Tm,JordCa00,2016
EDGE,Cameron Wake,MIA,34,7,16,11,0,0,0,0,0,0,0,0,0,0,0,22,11.5,1,AP: 2nd Tm,WakeCa00,2016
EDGE,Olivier Vernon,NYG,26,4,16,16,0,0,0,0,0,0,0,0,0,0,0,46,8.5,0,AP: 2nd Tm,VernOl00,2016
