Pos,Player,Tm,Age,Yrs,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Sk,Int,All-pro teams,Player-additional,Year
QB,Lamar Jackson,BAL,22,1,15,15,265,401,3127,36,6,176,1206,7,0,0,0,0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 2nd Tm SN: 1st Tm,JackLa00,2019
QB,Russell Wilson,SEA,31,7,16,16,341,516,4110,31,5,75,342,3,0,0,0,0,0.0,0,FW: 1st Tm All-Conf. AP: 2nd Tm PFF: 1st Tm,WilsRu00,2019
RB,Christian McCaffrey,CAR,23,2,16,16,0,2,0,0,0,287,1387,15,116,1005,4,0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm AP: 1st Tm FW: 1st Tm PFF: 2nd Tm SN: 1st Tm,McCaCh01,2019
RB,Derrick Henry,TEN,25,3,15,15,0,0,0,0,0,303,1540,16,18,206,2,0,0.0,0,FW: 1st Tm All-Conf. AP: 2nd Tm AP: 2nd Tm FW: 1st Tm,HenrDe00,2019
RB,Dalvin Cook,MIN,24,2,14,14,0,0,0,0,0,250,1135,13,53,519,0,0,0.0,0,FW: 1st Tm All-Conf. SN: 1st Tm,CookDa01,2019
RB,Nick Chubb,CLE,24,1,16,16,0,0,0,0,0,298,1494,8,36,278,0,0,0.0,0,FW: 1st Tm All-Conf. PFF: 1st Tm,ChubNi00,2019
WR,Michael Thomas,NOR,26,3,16,15,0,0,0,0,0,1,-9,0,149,1725,9,0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 1st Tm SN: 1st Tm,ThomMi05,2019
WR,Julio Jones,ATL,30,8,15,15,0,0,0,0,0,2,-3,0,99,1394,6,0,0.0,0,FW: 1st Tm All-Conf. AP: 2nd Tm FW: 1st Tm PFF: 1st Tm,JoneJu02,2019
WR,DeAndre Hopkins,HOU,27,6,15,15,1,2,6,1,1,2,18,0,104,1165,7,0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm PFF: 2nd Tm SN: 1st Tm,HopkDe00,2019
WR,Chris Godwin Jr.,TAM,23,2,14,14,0,0,0,0,0,1,8,0,86,1333,9,0,0.0,0,PFF: 1st Tm AP: 2nd Tm,GodwCh00,2019
WR,Keenan Allen,LAC,27,6,16,16,0,0,0,0,0,3,16,0,104,1199,6,0,0.0,0,FW: 1st Tm All-Conf.,AlleKe00,2019
WR,Mike Evans,TAM,26,5,13,13,0,0,0,0,0,0,0,0,67,1157,8,0,0.0,0,PFF: 2nd Tm,EvanMi00,2019
TE,George Kittle,SFO,26,2,14,14,0,0,0,0,0,5,22,0,85,1053,5,0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 1st Tm,KittGe00,2019
TE,Travis Kelce,KAN,30,6,16,16,0,0,0,0,0,1,4,1,97,1229,5,0,0.0,0,FW: 1st Tm All-Conf. AP: 2nd Tm PFF: 2nd Tm SN: 1st Tm,KelcTr00,2019
FLEX,Austin Ekeler,LAC,24,2,16,8,0,0,0,0,0,132,557,3,92,993,8,0,0.0,0,PFF: 2nd Tm,EkelAu00,2019
LT,Anthony Castonzo,IND,31,8,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,PFF: 2nd Tm,CastAn00,2019
OT,Laremy Tunsil,HOU,25,3,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,SN: 1st Tm,TunsLa00,2019
T,Ronnie Stanley,BAL,25,3,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 1st Tm,StanRo00,2019
T,Ryan Ramczyk,NOR,25,2,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 1st Tm,RamcRy00,2019
T,David Bakhtiari,GNB,28,6,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,FW: 1st Tm All-Conf. AP: 2nd Tm SN: 1st Tm,BakhDa00,2019
