Pos,Player,Tm,Age,Yrs,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Sk,Int,All-pro teams,Player-additional,Year
QB,Aaron Rodgers,GNB,37,15,16,16,372,526,4299,48,5,38,149,3,1,-6,0,0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 1st Tm,RodgAa00,2020
QB,Patrick Mahomes,KAN,25,3,15,15,390,588,4740,38,6,62,308,2,0,0,0,0,0.0,0,FW: 1st Tm All-Conf. AP: 2nd Tm PFF: 2nd Tm SN: 1st Tm,MahoPa00,2020
QB,Josh Allen,BUF,24,2,16,16,396,572,4544,37,10,102,421,8,1,12,1,0,0.0,0,AP: 2nd Tm,AlleJo02,2020
RB,Derrick Henry,TEN,26,4,16,16,0,0,0,0,0,378,2027,17,19,114,0,0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 1st Tm SN: 1st Tm,HenrDe00,2020
RB,Dalvin Cook,MIN,25,3,14,14,0,0,0,0,0,312,1557,16,44,361,1,0,0.0,0,FW: 1st Tm All-Conf. FW: 1st Tm PFF: 2nd Tm SN: 1st Tm,CookDa01,2020
RB,Alvin Kamara,NOR,25,3,15,10,0,0,0,0,0,187,932,16,83,756,5,0,0.0,0,FW: 1st Tm All-Conf. AP: 2nd Tm,KamaAl00,2020
RB,Nick Chubb,CLE,25,2,12,12,0,0,0,0,0,190,1067,12,16,150,0,0,0.0,0,FW: 1st Tm All-Conf.,ChubNi00,2020
WR,Davante Adams,GNB,28,6,14,14,0,0,0,0,0,0,0,0,115,1374,18,0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 1st Tm SN: 1st Tm,AdamDa01,2020
WR,Stefon Diggs,BUF,27,5,16,15,0,0,0,0,0,1,1,0,127,1535,8,0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 1st Tm SN: 1st Tm,DiggSt00,2020
WR,Tyreek Hill,KAN,26,4,15,15,0,0,0,0,0,13,123,2,87,1276,15,0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm PFF: 1st Tm,HillTy00,2020
WR,DeAndre Hopkins,ARI,28,7,16,16,0,0,0,0,0,1,1,0,115,1407,6,0,0.0,0,FW: 1st Tm All-Conf. AP: 2nd Tm,HopkDe00,2020
WR,Justin Jefferson,MIN,21,Rook,16,14,0,0,0,0,0,1,2,0,88,1400,7,0,0.0,0,AP: 2nd Tm PFF: 2nd Tm,JeffJu00,2020
WR,DK Metcalf,SEA,23,1,16,16,0,0,0,0,0,0,0,0,83,1303,10,0,0.0,0,AP: 2nd Tm,MetcDK00,2020
WR,A.J. Brown,TEN,23,1,14,12,0,0,0,0,0,0,0,0,70,1075,11,0,0.0,0,PFF: 2nd Tm,BrowAJ00,2020
WR,Calvin Ridley,ATL,26,2,15,15,0,0,0,0,0,5,1,0,90,1374,9,0,0.0,0,AP: 2nd Tm,RidlCa00,2020
WR,Cole Beasley,BUF,31,8,15,10,1,1,20,1,0,0,0,0,82,967,4,0,0.0,0,AP: 2nd Tm,BeasCo00,2020
TE,Travis Kelce,KAN,31,7,15,15,1,2,4,0,0,0,0,0,105,1416,11,0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 1st Tm SN: 1st Tm,KelcTr00,2020
TE,T.J. Hockenson,DET,23,1,16,16,0,0,0,0,0,1,0,0,67,723,6,0,0.0,0,FW: 1st Tm All-Conf.,HockTJ00,2020
TE,Darren Waller,LVR,28,5,16,15,0,0,0,0,0,0,0,0,107,1196,9,0,0.0,0,PFF: 2nd Tm,WallDa01,2020
FLEX,Allen Robinson,CHI,27,6,16,16,0,0,0,0,0,1,-1,0,102,1250,6,0,0.0,0,PFF: 2nd Tm,RobiAl02,2020
T,Jack Conklin,CLE,26,4,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 1st Tm,ConkJa00,2020
T,David Bakhtiari,GNB,29,7,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm,BakhDa00,2020
T,Trent Williams,SFO,32,10,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,FW: 1st Tm All-Conf. PFF: 1st Tm SN: 1st Tm,WillTr21,2020
T,Garett Bolles,DEN,28,3,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,FW: 1st Tm All-Conf. AP: 2nd Tm PFF: 2nd Tm,BollGa00,2020
G,Quenton Nelson,IND,24,2,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm,NelsQu00,2020
G,Joel Bitonio,CLE,29,6,16,16,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,FW: 1st Tm All-Conf. AP: 2nd Tm FW: 1st Tm PFF: 2nd Tm SN: 1st Tm,BitoJo00,2020
G,Brandon Scherff,WAS,29,5,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm PFF: 2nd Tm,ScheBr00,2020
