Pos,Player,Tm,Age,Yrs,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Sk,Int,All-pro teams,Player-additional,Year
QB,Lamar Jackson,BAL,27,6,17,17,316,474,4172,41,4,139,915,4,0,0,0,0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm NFLPA: 1st Tm PFF: 1st Tm SN: 1st Tm,JackLa00,2024
QB,Jared Goff,DET,30,8,17,17,390,539,4629,37,12,35,56,0,1,7,1,0,0.0,0,FW: 1st Tm All-Conf.,GoffJa00,2024
QB,Josh Allen,BUF,28,6,17,17,307,483,3731,28,6,102,531,12,0,7,1,0,0.0,0,AP: 2nd Tm,AlleJo02,2024
QB,Joe Burrow,CIN,28,4,17,17,460,652,4918,43,9,42,201,2,0,0,0,0,0.0,0,PFF: 2nd Tm,BurrJo01,2024
RB,Saquon Barkley,PHI,27,6,16,16,0,0,0,0,0,345,2005,13,33,278,2,0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm NFLPA: 1st Tm PFF: 2nd Tm SN: 1st Tm,BarkSa00,2024
RB,Derrick Henry,BAL,30,8,17,17,0,0,0,0,0,325,1921,16,19,193,2,0,0.0,0,FW: 1st Tm All-Conf. AP: 2nd Tm FW: 1st Tm PFF: 1st Tm SN: 1st Tm,HenrDe00,2024
RB,Jahmyr Gibbs,DET,22,1,17,4,0,0,0,0,0,250,1412,16,52,517,4,0,0.0,0,FW: 1st Tm All-Conf.,GibbJa01,2024
FB,Kyle Juszczyk,SFO,33,11,17,15,0,0,0,0,0,5,26,1,19,200,2,0,0.0,0,AP: 2nd Tm NFLPA: 1st Tm,JuszKy00,2024
FB,Patrick Ricard,BAL,30,7,17,6,0,0,0,0,0,0,0,0,3,22,1,0,0.0,0,AP: 1st Tm,RicaPa00,2024
WR,Justin Jefferson,MIN,25,4,17,17,1,1,22,0,0,1,3,0,103,1533,10,0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm NFLPA: 1st Tm PFF: 1st Tm SN: 1st Tm,JeffJu00,2024
WR,Ja'Marr Chase,CIN,24,3,17,16,0,0,0,0,0,3,32,0,127,1708,17,0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm NFLPA: 1st Tm PFF: 1st Tm SN: 1st Tm,ChasJa00,2024
WR,Amon-Ra St. Brown,DET,25,3,17,17,1,1,7,1,0,2,6,0,115,1263,12,0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm,StxxAm00,2024
WR,Brian Thomas,JAX,22,Rook,17,16,0,0,0,0,0,6,48,0,87,1282,10,0,0.0,0,FW: 1st Tm All-Conf.,ThomBr06,2024
WR,A.J. Brown,PHI,27,5,13,13,0,0,0,0,0,0,0,0,67,1079,7,0,0.0,0,AP: 2nd Tm PFF: 2nd Tm,BrowAJ00,2024
WR,Nico Collins,HOU,25,3,12,12,0,0,0,0,0,0,0,0,68,1006,7,0,0.0,0,PFF: 2nd Tm,CollNi00,2024
WR,CeeDee Lamb,DAL,25,4,15,15,0,0,0,0,0,14,70,0,101,1194,6,0,0.0,0,AP: 2nd Tm,LambCe00,2024
WR,Terry McLaurin,WAS,29,5,17,17,0,0,0,0,0,2,2,0,82,1096,13,0,0.0,0,AP: 2nd Tm,McLaTe00,2024
TE,Brock Bowers,LVR,22,Rook,17,16,0,0,0,0,0,5,13,0,112,1194,5,0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm NFLPA: 1st Tm PFF: 1st Tm SN: 1st Tm,BoweBr01,2024
TE,George Kittle,SFO,31,7,15,15,0,0,0,0,0,0,0,0,78,1106,8,0,0.0,0,FW: 1st Tm All-Conf. AP: 2nd Tm PFF: 1st Tm,KittGe00,2024
FLEX,Puka Nacua,LAR,23,1,11,11,0,0,0,0,0,11,46,1,79,990,3,0,0.0,0,PFF: 1st Tm,NacuPu00,2024
FLEX,Drake London,ATL,23,2,17,17,0,0,0,0,0,1,-3,0,100,1271,9,0,0.0,0,PFF: 2nd Tm,LondDr00,2024
LT,Tristan Wirfs,TAM,25,4,16,16,0,0,0,0,0,0,0,0,0,9,0,0,0.0,0,AP: 1st Tm FW: 1st Tm NFLPA: 1st Tm,WirfTr00,2024
LT,Jordan Mailata,PHI,27,4,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,PFF: 1st Tm AP: 2nd Tm,MailJo00,2024
T,Penei Sewell,DET,24,3,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm NFLPA: 1st Tm SN: 1st Tm,SewePe00,2024
T,Lane Johnson,PHI,34,11,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,FW: 1st Tm All-Conf. AP: 2nd Tm PFF: 2nd Tm SN: 1st Tm,JohnLa01,2024
T,Rashawn Slater,LAC,25,3,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,FW: 1st Tm All-Conf. PFF: 2nd Tm,SlatRa00,2024
T,Dion Dawkins,BUF,30,7,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,FW: 1st Tm All-Conf.,DawkDi00,2024
LG,Quenton Nelson,IND,28,6,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,AP: 2nd Tm PFF: 1st Tm,NelsQu00,2024
G,Joe Thuney,KAN,32,8,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm NFLPA: 1st Tm PFF: 2nd Tm SN: 1st Tm,ThunJo00,2024
G,Chris Lindstrom,ATL,27,5,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,FW: 1st Tm All-Conf. AP: 2nd Tm NFLPA: 1st Tm PFF: 1st Tm,LindCh00,2024
G,Quinn Meinerz,DEN,26,3,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 2nd Tm,MeinQu02,2024
G,Landon Dickerson,PHI,26,3,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,FW: 1st Tm All-Conf. SN: 1st Tm,DickLa00,2024
C,Creed Humphrey,KAN,25,3,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm NFLPA: 1st Tm PFF: 1st Tm SN: 1st Tm,HumpCr00,2024
C,Frank Ragnow,DET,28,6,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,FW: 1st Tm All-Conf. AP: 2nd Tm PFF: 2nd Tm,RagnFr00,2024
RT,Zach Bako-Bewele,GNB,25,2,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,PFF: 1st Tm,TomxZa00,2024
DL,Zach Allen,DEN,27,5,16,16,0,0,0,0,0,0,0,0,0,0,0,32,8.5,0,AP: 2nd Tm,AlleZa01,2024
DE,Myles Garrett,CLE,29,7,17,17,0,0,0,0,0,0,0,0,0,0,0,40,14.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm NFLPA: 1st Tm PFF: 1st Tm SN: 1st Tm,GarrMy00,2024
DE,Trey Hendrickson,CIN,30,7,17,17,0,0,0,0,0,0,0,0,0,0,0,33,17.5,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm NFLPA: 1st Tm PFF: 2nd Tm SN: 1st Tm,HendTr00,2024
DE,Micah Parsons,DAL,25,3,13,13,0,0,0,0,0,0,0,0,0,0,0,30,12.0,0,FW: 1st Tm All-Conf. PFF: 2nd Tm,ParsMi00,2024
DE,Nick Bosa,SFO,27,5,14,14,0,0,0,0,0,0,0,0,0,0,0,33,9.0,1,FW: 1st Tm All-Conf.,BosaNi00,2024
DT,Chris Jones,KAN,30,8,15,15,0,0,0,0,0,0,0,0,0,0,0,19,5.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm NFLPA: 1st Tm PFF: 1st Tm SN: 1st Tm,JoneCh09,2024
DT,Cameron Heyward,PIT,35,13,17,17,0,0,0,0,0,0,0,0,0,0,0,35,8.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 1st Tm,HeywCa01,2024
DT,Dexter Lawrence,NYG,27,5,12,12,0,0,0,0,0,0,0,0,0,0,0,23,9.0,0,FW: 1st Tm All-Conf. NFLPA: 1st Tm PFF: 2nd Tm SN: 1st Tm,LawrDe03,2024
DT,Jalen Carter,PHI,23,1,16,15,0,0,0,0,0,0,0,0,0,0,0,25,4.5,0,FW: 1st Tm All-Conf. AP: 2nd Tm NFLPA: 1st Tm,CartJa05,2024
DT,Leonard Williams,SEA,30,9,16,16,0,0,0,0,0,0,0,0,0,0,0,37,11.0,1,FW: 1st Tm All-Conf. PFF: 2nd Tm,WillLe02,2024
OLB,T.J. Watt,PIT,30,7,17,17,0,0,0,0,0,0,0,0,0,0,0,40,11.5,0,FW: 1st Tm All-Conf. AP: 2nd Tm FW: 1st Tm PFF: 1st Tm SN: 1st Tm,WattT.00,2024
OLB,Nik Bonitto,DEN,25,2,17,15,0,0,0,0,0,0,0,0,0,0,0,33,13.5,1,FW: 1st Tm All-Conf. AP: 2nd Tm FW: 1st Tm,BoniNi00,2024
OLB,Andrew Van Ginkel,MIN,29,5,17,17,0,0,0,0,0,0,0,0,0,0,0,50,11.5,2,FW: 1st Tm All-Conf. AP: 2nd Tm,VanGAn00,2024
OLB,Jonathan Greenard,MIN,27,4,17,17,0,0,0,0,0,0,0,0,0,0,0,41,12.0,0,FW: 1st Tm All-Conf.,GreeJo04,2024
MLB,Fred Warner,SFO,28,6,17,17,0,0,0,0,0,0,0,0,0,0,0,76,1.0,2,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm NFLPA: 1st Tm PFF: 1st Tm SN: 1st Tm,WarnFr00,2024
MLB,Roquan Smith,BAL,27,6,16,16,0,0,0,0,0,0,0,0,0,0,0,81,1.5,1,FW: 1st Tm All-Conf. AP: 1st Tm NFLPA: 1st Tm SN: 1st Tm,SmitRo07,2024
MLB,Zack Baun,PHI,28,4,16,16,0,0,0,0,0,0,0,0,0,0,0,93,3.5,1,FW: 1st Tm All-Conf. AP: 1st Tm PFF: 1st Tm,BaunZa00,2024
LB,Bobby Wagner,WAS,34,12,17,17,0,0,0,0,0,0,0,0,0,0,0,75,2.0,0,AP: 2nd Tm PFF: 2nd Tm,WagnBo00,2024
LB,Zaire Franklin,IND,28,6,17,17,0,0,0,0,0,0,0,0,0,0,0,93,3.5,2,AP: 2nd Tm,FranZa00,2024
LB,Frankie Luvu,WAS,28,6,17,17,0,0,0,0,0,0,0,0,0,0,0,54,8.0,1,AP: 2nd Tm,LuvuFr00,2024
LB,Jack Campbell,DET,24,1,17,17,0,0,0,0,0,0,0,0,0,0,0,69,1.5,0,PFF: 2nd Tm,CampJa04,2024
CB,Patrick Surtain II,DEN,24,3,16,16,0,0,0,0,0,0,0,0,0,0,0,34,0.0,4,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm NFLPA: 1st Tm PFF: 1st Tm SN: 1st Tm,SurtPa01,2024
CB,Derek Stingley Jr.,HOU,23,2,17,17,0,0,0,0,0,0,0,0,0,0,0,37,0.0,5,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm NFLPA: 1st Tm SN: 1st Tm,StinDe00,2024
CB,Marlon Humphrey,BAL,28,7,16,16,0,0,0,0,0,0,0,0,0,0,0,50,0.5,6,AP: 1st Tm PFF: 1st Tm,HumpMa00,2024
CB,Trent McDuffie,KAN,24,2,16,16,0,0,0,0,0,0,0,0,0,0,0,45,0.5,2,PFF: 1st Tm AP: 2nd Tm,McDuTr00,2024
CB,Jaylon Johnson,CHI,25,4,17,17,0,0,0,0,0,0,0,0,0,0,0,42,0.0,2,FW: 1st Tm All-Conf.,JohnJa13,2024
CB,Byron Murphy,MIN,26,5,17,17,0,0,0,0,0,0,0,0,0,0,0,62,0.0,6,FW: 1st Tm All-Conf.,MurpBy00,2024
CB,Garrett Williams,ARI,23,1,16,11,0,0,0,0,0,0,0,0,0,0,0,40,0.0,2,PFF: 2nd Tm,WillGa00,2024
CB,Christian Gonzalez,NWE,22,1,16,16,0,0,0,0,0,0,0,0,0,0,0,50,0.0,2,AP: 2nd Tm,GonzCh00,2024
CB,Christian Benford,BUF,24,2,15,15,0,0,0,0,0,0,0,0,0,0,0,50,1.0,2,PFF: 2nd Tm,BenfCh00,2024
DB,Cooper DeJean,PHI,21,Rook,16,9,0,0,0,0,0,0,0,0,0,0,0,38,0.5,0,PFF: 2nd Tm,DeJeCo00,2024
S,Xavier McKinney,GNB,26,4,17,17,0,0,0,0,0,0,0,0,0,0,0,60,1.0,8,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm NFLPA: 1st Tm PFF: 2nd Tm SN: 1st Tm,McKiXa00,2024
S,Kyle Hamilton,BAL,23,2,17,17,0,0,0,0,0,0,0,0,0,0,0,77,2.0,1,FW: 1st Tm All-Conf. AP: 2nd Tm NFLPA: 1st Tm PFF: 1st Tm SN: 1st Tm,HamiKy00,2024
S,Kerby Joseph,DET,24,2,17,17,0,0,0,0,0,0,0,0,0,0,0,58,0.0,9,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 1st Tm,JoseKe03,2024
S,Brian Branch,DET,23,1,16,16,0,0,0,0,0,0,0,0,0,0,0,79,1.0,4,SN: 1st Tm,BranBr00,2024
S,Derwin James,LAC,28,6,16,16,0,0,0,0,0,0,0,0,0,0,0,60,5.5,1,FW: 1st Tm All-Conf. AP: 2nd Tm,JameDe00,2024
S,Brandon Jones,DEN,26,4,16,15,0,0,0,0,0,0,0,0,0,0,0,79,0.0,3,PFF: 2nd Tm,JoneBr06,2024
S,Budda Baker,ARI,28,7,17,17,0,0,0,0,0,0,0,0,0,0,0,95,2.0,0,AP: 2nd Tm,BakeBu00,2024
LS,Ross Matiscik,JAX,28,4,17,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,AP: 2nd Tm NFLPA: 1st Tm PFF: 2nd Tm,MatiRo00,2024
