Pos,Player,Tm,Age,Yrs,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Sk,Int,All-pro teams,Player-additional,Year
QB,Aaron Rodgers,GNB,38,16,16,16,366,531,4115,37,4,33,101,3,1,-4,0,0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm,RodgAa00,2021
QB,Tom Brady,TAM,44,21,17,17,485,719,5316,43,12,28,81,2,0,0,0,0,0.0,0,AP: 2nd Tm PFF: 1st Tm,BradTo00,2021
QB,Joe Burrow,CIN,25,1,16,16,366,520,4611,34,14,40,118,2,0,0,0,1,0.0,0,FW: 1st Tm All-Conf. PFF: 2nd Tm,BurrJo01,2021
RB,Jonathan Taylor,IND,22,1,17,17,0,0,0,0,0,332,1811,18,40,360,2,0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 1st Tm SN: 1st Tm,TaylJo02,2021
RB,Nick Chubb,CLE,26,3,14,14,0,0,0,0,0,228,1259,8,20,174,1,0,0.0,0,FW: 1st Tm All-Conf. FW: 1st Tm,ChubNi00,2021
RB,Joe Mixon,CIN,25,4,16,16,0,0,0,0,0,292,1205,13,42,314,3,0,0.0,0,SN: 1st Tm PFF: 2nd Tm,MixoJo00,2021
RB,Antonio Gibson,WAS,23,1,16,14,0,0,0,0,0,258,1037,7,42,294,3,1,0.0,0,FW: 1st Tm All-Conf.,GibsAn00,2021
RB,Dalvin Cook,MIN,26,4,13,13,0,0,0,0,0,249,1159,6,34,224,0,0,0.0,0,FW: 1st Tm All-Conf.,CookDa01,2021
WR,Davante Adams,GNB,29,7,16,16,0,0,0,0,0,0,0,0,123,1553,11,1,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 1st Tm SN: 1st Tm,AdamDa01,2021
WR,Cooper Kupp,LAR,28,4,17,17,0,1,0,0,0,4,18,0,145,1947,16,1,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 1st Tm SN: 1st Tm,KuppCo00,2021
WR,Deebo Samuel Sr.,SFO,25,2,16,15,1,2,24,1,0,59,365,8,77,1405,6,1,0.0,0,AP: 1st Tm PFF: 1st Tm,SamuDe00,2021
WR,Ja'Marr Chase,CIN,21,Rook,17,17,0,0,0,0,0,7,21,0,81,1455,13,2,0.0,0,FW: 1st Tm All-Conf. AP: 2nd Tm PFF: 2nd Tm,ChasJa00,2021
WR,Tyreek Hill,KAN,27,5,17,16,0,0,0,0,0,9,96,0,111,1239,9,2,0.0,0,FW: 1st Tm All-Conf.,HillTy00,2021
WR,Justin Jefferson,MIN,22,1,17,17,2,4,35,0,0,6,14,0,108,1616,10,0,0.0,0,AP: 2nd Tm PFF: 2nd Tm,JeffJu00,2021
TE,Mark Andrews,BAL,26,3,17,9,0,0,0,0,0,1,0,0,107,1361,9,5,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 1st Tm,AndrMa00,2021
TE,Travis Kelce,KAN,32,8,16,16,0,0,0,0,0,2,3,1,92,1125,9,0,0.0,0,AP: 2nd Tm SN: 1st Tm,KelcTr00,2021
TE,George Kittle,SFO,28,4,14,14,0,0,0,0,0,3,20,0,71,910,6,1,0.0,0,FW: 1st Tm All-Conf. PFF: 2nd Tm,KittGe00,2021
LT,Jordan Mailata,PHI,24,1,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,PFF: 2nd Tm,MailJo00,2021
