Pos,Player,Tm,Age,Yrs,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Sk,Int,All-pro teams,Player-additional,Year
QB,Tom Brady,NWE,40,17,16,16,385,581,4577,32,8,25,28,0,0,0,0,0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 1st Tm SN: 1st Tm,BradTo00,2017
QB,Carson Wentz,PHI,25,1,13,13,265,440,3296,33,7,64,299,0,0,0,0,0,0.0,0,FW: 1st Tm All-Conf. AP: 2nd Tm,WentCa00,2017
QB,Matt Ryan,ATL,32,9,16,16,342,529,4095,20,12,32,143,0,0,0,0,0,0.0,0,PFF: 2nd Tm,RyanMa00,2017
RB,Todd Gurley,LAR,23,2,15,15,0,0,0,0,0,279,1305,13,64,788,6,0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 1st Tm SN: 1st Tm,GurlTo01,2017
RB,Le'Veon Bell,PIT,25,4,15,15,0,0,0,0,0,321,1291,9,85,655,2,0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm AP: 2nd Tm FW: 1st Tm SN: 1st Tm,BellLe00,2017
RB,Alvin Kamara,NOR,22,Rook,16,3,0,0,0,0,0,120,728,8,81,826,5,0,0.0,0,FW: 1st Tm All-Conf. AP: 2nd Tm PFF: 2nd Tm,KamaAl00,2017
RB,Kareem Hunt,KAN,22,Rook,16,16,0,0,0,0,0,272,1327,8,53,455,3,0,0.0,0,FW: 1st Tm All-Conf.,HuntKa00,2017
WR,Antonio Brown,PIT,29,7,14,14,0,0,0,0,0,0,0,0,101,1533,9,0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 1st Tm SN: 1st Tm,BrowAn04,2017
WR,DeAndre Hopkins,HOU,25,4,15,15,0,0,0,0,0,0,0,0,96,1378,13,0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 1st Tm,HopkDe00,2017
WR,Julio Jones,ATL,28,6,16,16,0,0,0,0,0,1,15,0,88,1444,3,0,0.0,0,FW: 1st Tm All-Conf. AP: 2nd Tm PFF: 1st Tm SN: 1st Tm,JoneJu02,2017
WR,Michael Thomas,NOR,24,1,16,14,0,0,0,0,0,0,0,0,104,1245,5,1,0.0,0,FW: 1st Tm All-Conf. PFF: 2nd Tm,ThomMi05,2017
WR,Adam Thielen,MIN,27,3,16,16,0,0,0,0,0,1,11,0,91,1276,4,0,0.0,0,AP: 2nd Tm,ThieAd00,2017
