Pos,Player,Tm,Age,Yrs,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Sk,Int,All-pro teams,Player-additional,Year
WR,Keenan Allen,LAC,25,4,16,15,0,0,0,0,0,2,9,0,102,1393,6,0,0.0,1,PFF: 2nd Tm,AlleKe00,2017
TE,Rob Gronkowski,NWE,28,7,14,14,0,0,0,0,0,0,0,0,69,1084,8,0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 1st Tm,GronRo00,2017
TE,Travis Kelce,KAN,28,4,15,15,0,1,0,0,1,2,7,0,83,1038,8,0,0.0,0,AP: 2nd Tm SN: 1st Tm,KelcTr00,2017
TE,Zach Ertz,PHI,27,4,14,13,0,0,0,0,0,0,0,0,74,824,8,0,0.0,0,FW: 1st Tm All-Conf.,ErtzZa00,2017
TE,Hunter Henry,LAC,23,1,14,13,0,0,0,0,0,0,0,0,45,579,4,0,0.0,0,PFF: 2nd Tm,HenrHu00,2017
LT,David Bakhtiari,GNB,26,4,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,AP: 2nd Tm PFF: 1st Tm,BakhDa00,2017
LT,Joe Staley,SFO,33,10,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,PFF: 2nd Tm,StalJo20,2017
OT,Trent Williams,WAS,29,7,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,SN: 1st Tm,WillTr21,2017
T,Andrew Whitworth,LAR,36,11,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm,WhitAn20,2017
T,Lane Johnson,PHI,27,4,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm,JohnLa01,2017
T,Taylor Lewan,TEN,26,3,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,FW: 1st Tm All-Conf. SN: 1st Tm,LewaTa00,2017
T,Mitchell Schwartz,KAN,28,5,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,FW: 1st Tm All-Conf. AP: 2nd Tm,SchwMi00,2017
T,Alejandro Villanueva,PIT,29,2,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,FW: 1st Tm All-Conf.,VillAl00,2017
LG,Andrew Norwell,CAR,26,3,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,AP: 1st Tm PFF: 1st Tm,NorwAn01,2017
LG,Joel Bitonio,CLE,26,3,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,PFF: 2nd Tm,BitoJo00,2017
LG,Rodger Saffold,LAR,29,7,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,AP: 2nd Tm,SaffRo20,2017
G,David DeCastro,PIT,27,5,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 1st Tm SN: 1st Tm,DeCaDa00,2017
G,Zack Martin,DAL,27,3,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,FW: 1st Tm All-Conf. AP: 2nd Tm FW: 1st Tm PFF: 2nd Tm SN: 1st Tm,MartZa00,2017
G,Brandon Brooks,PHI,28,5,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,FW: 1st Tm All-Conf.,BrooBr00,2017
G,Kelechi Osemele,OAK,28,5,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,FW: 1st Tm All-Conf.,OsemKe00,2017
C,Jason Kelce,PHI,30,6,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 1st Tm,KelcJa00,2017
C,Alex Mack,ATL,32,8,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,AP: 2nd Tm SN: 1st Tm,MackAl20,2017
C,Maurkice Pouncey,PIT,28,7,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,FW: 1st Tm All-Conf.,PounMa20,2017
C,Travis Frederick,DAL,26,4,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,PFF: 2nd Tm,FredTr00,2017
RT,Daryl Williams,CAR,25,2,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,AP: 2nd Tm PFF: 2nd Tm,WillDa06,2017
RT,Demar Dotson,TAM,32,8,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,PFF: 2nd Tm,DotsDe00,2017
DE,Cameron Jordan,NOR,28,6,16,16,0,0,0,0,0,0,0,0,0,0,0,48,13.0,1,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 1st Tm SN: 1st Tm,JordCa00,2017
DE,Calais Campbell,JAX,31,9,16,16,0,0,0,0,0,0,0,0,0,0,0,47,14.5,0,FW: 1st Tm All-Conf. AP: 1st Tm AP: 2nd Tm FW: 1st Tm PFF: 2nd Tm,CampCa99,2017
DE,Everson Griffen,MIN,30,7,15,15,0,0,0,0,0,0,0,0,0,0,0,31,13.0,0,SN: 1st Tm AP: 2nd Tm,GrifEv99,2017
DE,DeMarcus Lawrence,DAL,25,3,16,16,0,0,0,0,0,0,0,0,0,0,0,35,14.5,0,FW: 1st Tm All-Conf. AP: 2nd Tm PFF: 2nd Tm,LawrDe00,2017
DE,Joey Bosa,LAC,22,1,16,16,0,0,0,0,0,0,0,0,0,0,0,54,12.5,0,FW: 1st Tm All-Conf.,BosaJo00,2017
DT,Aaron Donald,LAR,26,3,14,14,0,0,0,0,0,0,0,0,0,0,0,32,11.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 1st Tm SN: 1st Tm,DonaAa00,2017
DT,Fletcher Cox,PHI,27,5,14,14,0,0,0,0,0,0,0,0,0,0,0,15,5.5,0,FW: 1st Tm All-Conf. AP: 2nd Tm FW: 1st Tm SN: 1st Tm,CoxxFl00,2017
DT,Geno Atkins,CIN,29,7,16,15,0,0,0,0,0,0,0,0,0,0,0,29,9.0,0,FW: 1st Tm All-Conf. PFF: 1st Tm,AtkiGe99,2017
DT,Cameron Heyward,PIT,28,6,15,15,0,0,0,0,0,0,0,0,0,0,0,30,12.0,0,AP: 1st Tm,HeywCa01,2017
DT,Malik Jackson,JAX,27,5,16,16,0,0,0,0,0,0,0,0,0,0,0,31,8.0,0,FW: 1st Tm All-Conf.,JackMa02,2017
DT,Ndamukong Suh,MIA,30,7,16,16,0,0,0,0,0,0,0,0,0,0,0,29,4.5,0,PFF: 2nd Tm,SuhxNd99,2017
DT,Kawann Short,CAR,28,4,16,16,0,0,0,0,0,0,0,0,0,0,0,27,7.5,0,PFF: 2nd Tm,ShorKa00,2017
OLB,Chandler Jones,ARI,27,5,16,16,0,0,0,0,0,0,0,0,0,0,0,52,17.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm,JoneCh03,2017
OLB,Von Miller,DEN,28,6,16,16,0,0,0,0,0,0,0,0,0,0,0,51,10.0,0,FW: 1st Tm All-Conf. AP: 2nd Tm FW: 1st Tm PFF: 1st Tm,MillVo00,2017
OLB,Jadeveon Clowney,HOU,24,3,16,16,0,0,0,0,0,0,0,0,0,0,0,41,9.5,0,FW: 1st Tm All-Conf.,ClowJa00,2017
OLB,Ryan Kerrigan,WAS,29,6,16,16,0,0,0,0,0,0,0,0,0,0,0,34,13.0,1,FW: 1st Tm All-Conf.,KerrRy00,2017
MLB,Luke Kuechly,CAR,26,5,15,15,0,0,0,0,0,0,0,0,0,0,0,74,1.5,3,FW: 1st Tm All-Conf. AP: 1st Tm PFF: 1st Tm SN: 1st Tm,KuecLu00,2017
MLB,Ryan Shazier,PIT,25,3,12,12,0,0,0,0,0,0,0,0,0,0,0,68,0.0,3,FW: 1st Tm All-Conf.,ShazRy00,2017
LB,Bobby Wagner,SEA,27,5,16,16,0,0,0,0,0,0,0,0,0,0,0,97,1.5,2,AP: 1st Tm FW: 1st Tm PFF: 1st Tm SN: 1st Tm,WagnBo00,2017
LB,Deion Jones,ATL,23,1,16,16,0,0,0,0,0,0,0,0,0,0,0,91,1.0,3,PFF: 2nd Tm,JoneDe01,2017
LB,Lavonte David,TAM,27,5,13,13,0,0,0,0,0,0,0,0,0,0,0,76,0.0,0,PFF: 2nd Tm,DaviLa00,2017
LB,Telvin Smith,JAX,26,3,14,14,0,0,0,0,0,0,0,0,0,0,0,76,1.0,3,AP: 2nd Tm,SmitTe01,2017
LB,C.J. Mosley,BAL,25,3,16,16,0,0,0,0,0,0,0,0,0,0,0,96,1.0,2,AP: 2nd Tm,MoslC.00,2017
CB,Jalen Ramsey,JAX,23,1,16,16,0,0,0,0,0,0,0,0,0,0,0,52,0.0,4,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 1st Tm SN: 1st Tm,RamsJa00,2017
CB,Xavier Rhodes,MIN,27,4,16,16,0,0,0,0,0,0,0,0,0,0,0,44,0.0,2,AP: 1st Tm AP: 2nd Tm FW: 1st Tm SN: 1st Tm,RhodXa00,2017
CB,Darius Slay,DET,26,4,16,16,0,0,0,0,0,0,0,0,0,0,0,54,0.0,8,FW: 1st Tm All-Conf. AP: 1st Tm,SlayDa00,2017
CB,Casey Hayward,LAC,28,5,16,16,0,0,0,0,0,0,0,0,0,0,0,33,0.0,4,AP: 2nd Tm PFF: 1st Tm,HaywCa00,2017
CB,A.J. Bouye,JAX,26,4,16,16,0,0,0,0,0,0,0,0,0,0,0,53,0.0,6,FW: 1st Tm All-Conf. AP: 2nd Tm PFF: 2nd Tm,BouyA.00,2017
CB,Marshon Lattimore,NOR,21,Rook,13,13,0,0,0,0,0,0,0,0,0,0,0,43,0.0,5,FW: 1st Tm All-Conf.,LattMa01,2017
CB,Tre'Davious White,BUF,22,Rook,16,16,0,0,0,0,0,0,0,0,0,0,0,53,0.0,4,PFF: 2nd Tm,WhitTr01,2017
DB,Patrick Robinson,PHI,30,7,16,8,0,0,0,0,0,0,0,0,0,0,0,39,1.0,4,PFF: 2nd Tm,RobiPa99,2017
S,Harrison Smith,MIN,28,5,16,16,0,0,0,0,0,0,0,0,0,0,0,61,1.5,5,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 1st Tm SN: 1st Tm,SmitHa00,2017
S,Kevin Byard,TEN,24,1,16,16,0,0,0,0,0,0,0,0,0,0,0,62,0.0,8,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 1st Tm,ByarKe01,2017
S,Earl Thomas,SEA,28,7,14,14,0,0,0,0,0,0,0,0,0,0,0,56,0.0,2,FW: 1st Tm All-Conf. AP: 2nd Tm SN: 1st Tm,ThomEa99,2017
S,Adrian Amos,CHI,24,2,13,10,0,0,0,0,0,0,0,0,0,0,0,62,0.0,1,PFF: 1st Tm,AmosAd00,2017
S,Eric Weddle,BAL,32,10,16,16,0,0,0,0,0,0,0,0,0,0,0,49,1.0,6,FW: 1st Tm All-Conf.,WeddEr99,2017
S,Glover Quin,DET,31,8,16,16,0,0,0,0,0,0,0,0,0,0,0,60,0.0,3,PFF: 2nd Tm,QuinGl99,2017
S,Micah Hyde,BUF,27,4,16,16,0,0,0,0,0,0,0,0,0,0,0,65,0.0,5,AP: 2nd Tm,HydeMi00,2017
S,Lamarcus Joyner,LAR,27,3,12,12,0,0,0,0,0,0,0,0,0,0,0,39,0.0,3,PFF: 2nd Tm,JoynLa00,2017
K,Matt Prater,DET,33,10,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,PFF: 1st Tm,PratMa20,2017
K,Robbie Gould,SFO,35,12,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,PFF: 2nd Tm,gouldrob01,2017
P,Johnny Hekker,LAR,27,5,16,0,2,3,34,0,0,0,0,0,0,0,0,2,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm,HekkJo00,2017
P,Brett Kern,TEN,31,9,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,FW: 1st Tm All-Conf. AP: 2nd Tm PFF: 2nd Tm SN: 1st Tm,KernBr20,2017
P,Thomas Morstead,NOR,31,8,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,PFF: 1st Tm,MorsTh00,2017
PR,Jamal Agnew,DET,22,Rook,13,0,0,0,0,0,0,2,9,0,2,18,0,10,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm,AgneJa00,2017
PR,Michael Campanaro,BAL,26,3,13,0,0,0,0,0,0,5,42,0,19,173,1,0,0.0,0,FW: 1st Tm All-Conf.,CampMi02,2017
KR,Pharoh Cooper,LAR,22,1,16,1,0,0,0,0,0,1,6,0,11,84,0,0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm AP: 2nd Tm FW: 1st Tm PFF: 1st Tm SN: 1st Tm,CoopPh00,2017
KR,Dion Lewis,NWE,27,6,16,8,0,0,0,0,0,180,896,6,32,214,3,0,0.0,0,FW: 1st Tm All-Conf. PFF: 2nd Tm,LewiDi00,2017
KR,Tyler Lockett,SEA,25,2,16,8,0,0,0,0,0,10,58,0,45,555,2,0,0.0,0,AP: 2nd Tm PFF: 2nd Tm,LockTy00,2017
ST,Budda Baker,ARI,21,Rook,16,7,0,0,0,0,0,0,0,0,0,0,0,58,1.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm PFF: 2nd Tm,BakeBu00,2017
ST,Michael Thomas,MIA,27,4,13,2,0,0,0,0,0,0,0,0,0,0,0,16,0.0,0,PFF: 1st Tm,ThomMi02,2017
ST,Matthew Slater,NWE,32,9,9,0,0,0,0,0,0,0,0,0,0,0,0,6,0.0,0,FW: 1st Tm All-Conf. AP: 2nd Tm,SlatMa00,2017
PK,Greg Zuerlein,LAR,30,5,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,FW: 1st Tm All-Conf. AP: 1st Tm FW: 1st Tm SN: 1st Tm,ZuerGr00,2017
PK,Justin Tucker,BAL,28,5,16,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0,FW: 1st Tm All-Conf. AP: 2nd Tm,TuckJu00,2017
